console,game,rank,publisher,critic_score,units_sold,release_date
GB,Power Pro Kun Pocket 2,76,Konami,,,2000-03-30
GB,Harvest Moon GB,77,Natsume,,,1998-08-01
GB,Tetris 2 (weekly jp sales),78,Nintendo,,,1993-01-01
GB,Tetris Attack,79,Nintendo,,,1996-08-01
GB,Kirby's Star Stacker,80,Nintendo,,,1997-01-24
GB,Trade & Battle: Card Hero,81,Nintendo,,,2000-02-21
GB,GameBoy Wars,82,Nintendo,,,1991-05-21
GB,Mega Man III,83,Capcom,,,1992-01-01
GB,Power Pro Kun Pocket,84,Konami,,,1999-04-01
GB,Sakura Wars GB,85,Media Factory,,,2000-07-28
GB,Yu-Gi-Oh! Monster Capture GB,86,Konami,,,2000-04-13
GB,Tales of Phantasia: Narikiri Dungeon,87,Namco,,140000.0,2000-11-10
GB,Star Ocean: Blue Sphere,88,Enix,,130000.0,2001-06-28
GB,Mega Man IV,89,Capcom,,,1993-01-01
GB,Harvest Moon 2 GBC,90,Natsume,,,2000-09-11
GB,Medarot 4: Kabuto / Kuwagata Version,91,Imagineer,,,2001-03-23
GB,Mega Man Xtreme,92,Capcom,,,2001-01-11
GB,Mega Man Xtreme 2,93,Capcom,,,2001-10-30
GB,Metal Gear Solid,94,Konami,,,2000-04-24
GB,Power Pro GB,95,Konami,,,1998-03-26
GB,Teenage Mutant Ninja Turtles II: Back from the Sewers,96,Konami,,,1991-12-01
GB,Doraemon Quiz Boy 2,97,Epoch,,,2002-10-04
GB,Sylvanian Families 2: Irozuku Mori no Fantasy,98,Epoch,,,2000-12-22
GB,Love Hina Pocket,99,Marvelous Interactive,,,2000-08-04
GB,Bomberman Collection,100,Hudson Soft,,,1996-07-21
GB,Othello World,101,Unknown,,,1994-09-30
GB,LEGO Alpha Team,102,LEGO Media,,,2000-11-01
GB,Project S-11,103,Sunsoft,,,2000-12-14
GB,Black Forest Tale,104,Sachen,,,1993-01-01
GB,Pipe Dream,105,Bullet Proof Software,,,1990-09-01
GB,Wizardry Gaiden I: Joou no Junan,106,ASCII Entertainment,,,1991-10-01
GB,European Super League,107,Virgin Interactive,,,2001-03-30
GB,Prophecy: The Viking Child,108,GameTek,,,1992-07-01
GB,Skate or Die: Bad 'N Rad,109,Konami,,,1990-09-01
GB,NBA in the Zone 2000,110,Konami,,,2000-04-27
GB,Tesserae,111,GameTek,,,1993-08-01
GB,Road Rash,112,Ocean,,,1996-10-01
GB,Sports Collection,113,Tonkin House,,,1996-09-27
GB,NFL Blitz 2001,114,Midway Games,,,2000-09-12
GB,seaQuest DSV,115,Malibu Games,,,1994-11-01
GB,Super Black Bass,116,Hot-B,,,1998-11-01
