Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
84,Naruto Shippuden: Ultimate Ninja Storm Trilogy,Naruto Shippuden: Ultimate Ninja Storm Trilogy,,Bandai Namco Entertainment,,7.5,,1.26m,26th Apr 18,20th May 18,,NS
85,Bayonetta,Bayonetta,,Nintendo,,,,1.24m,16th Feb 18,02nd Aug 20,,NS
86,Bayonetta 2,Bayonetta 2,,Nintendo,,9.5,,1.23m,16th Feb 18,17th Apr 18,,NS
87,Resident Evil 6,Resident Evil 6,,Capcom,,,,1.20m,29th Oct 19,16th Jun 19,,NS
88,Pokken Tournament DX,Pokken Tournament DX,,Nintendo,,8.0,,1.16m,22nd Sep 17,01st Jan 18,,NS
89,The Elder Scrolls V: Skyrim,The Elder Scrolls V: Skyrim,,Bethesda Softworks,,8.6,9.1,,17th Nov 17,01st Jan 18,,NS
90,Game Builder Garage,Game Builder Garage,,Nintendo,,,,1.15m,11th Jun 21,01st Aug 21,,NS
91,Dark Souls: Remastered,Dark Souls: Remastered,,Bandai Namco Entertainment,,8.8,9.0,1.15m,19th Oct 18,05th Jun 18,,NS
92,Mario vs. Donkey Kong,Mario vs. Donkey Kong,,Nintendo,,,,1.12m,16th Feb 24,14th Sep 23,,NS
93,Crash Bandicoot N. Sane Trilogy,Crash Bandicoot N. Sane Trilogy,,Activision,,6.0,,,29th Jun 18,07th Nov 18,,NS
94,Resident Evil 4,Resident Evil 4,,Capcom,,,,1.10m,21st May 19,03rd Apr 19,,NS
95,Shin Megami Tensei V,Shin Megami Tensei V Read the review,,Sega,8.0,,,1.10m,11th Nov 21,08th Dec 21,,NS
96,FIFA 18,FIFA 18,,EA Sports,,5.8,9.1,,29th Sep 17,02nd Apr 18,,NS
97,Metroid Prime Remastered,Metroid Prime Remastered Read the review,,Nintendo,,,,1.09m,08th Feb 23,09th Feb 23,,NS
98,Bayonetta 3,Bayonetta 3 Read the review,,Nintendo,7.5,,,1.07m,28th Oct 22,31st Dec 17,,NS
99,Fire Emblem Warriors: Three Hopes,Fire Emblem Warriors: Three Hopes Read the review,,Nintendo,6.0,,,1.00m,24th Jun 22,09th Feb 22,,NS
100,Dragon Quest Monsters: The Dark Prince,Dragon Quest Monsters: The Dark Prince,,Square Enix,,,,1.00m,01st Dec 23,21st Jun 23,,NS
101,Story of Seasons: Pioneers of Olive Town,Story of Seasons: Pioneers of Olive Town Read the review,,Marvelous,6.5,,,1.00m,26th Mar 21,10th Feb 21,,NS
102,Puyo Puyo Tetris,Puyo Puyo Tetris Read the review,,Sega,,8.3,,1.00m,25th Apr 17,04th Jul 18,,NS
103,Fitness Boxing 2: Rhythm & Exercise,Fitness Boxing 2: Rhythm & Exercise,,Nintendo,,,,1.00m,04th Dec 20,17th Apr 22,,NS
104,Fitness Boxing,Fitness Boxing,,Nintendo,,7.0,,1.00m,04th Jan 19,14th Jan 21,,NS
105,Thief Simulator,Thief Simulator,,Forever Entertainment S.A.,,,,1.00m,16th May 19,16th Jul 21,,NS
106,Enter the Gungeon,Enter the Gungeon,,Devolver Digital,,,8.4,1.00m,14th Dec 17,04th Feb 18,,NS
107,Bravely Default II,Bravely Default II Read the review,,Nintendo,7.5,,,0.95m,26th Feb 21,17th Dec 19,,NS
108,Mario & Sonic at the Tokyo 2020 Olympic Games,Mario & Sonic at the Tokyo 2020 Olympic Games Read the review,,Sega,7.0,,,0.90m,05th Nov 19,12th Jun 19,,NS
