Pos,Game,Game.1,Console,Publisher,VGChartz Score,Critic Score,User Score,Total Shipped,Release Date,Last Update,Unnamed: 11_level_2,Console_Scraped
234,Spintires: MudRunner - American Wilds,Spintires: MudRunner - American Wilds,,Maximum Games,,,,,23rd Oct 18,19th Feb 19,,NS
235,Portal Knights,Portal Knights,,505 Games,,,,,13th Feb 18,03rd Jul 18,,NS
236,One Piece: Pirate Warriors 3 - Deluxe Edition,One Piece: Pirate Warriors 3 - Deluxe Edition,,Bandai Namco Entertainment,,8.5,,,11th May 18,20th Feb 19,,NS
237,Party Arcade,Party Arcade,,Planet Entertainment,,,,,09th Nov 18,15th Aug 18,,NS
238,The End is Nigh,The End is Nigh Read the review,,Nicalis,,,,,12th Dec 17,28th Jan 18,,NS
239,Tiny Barbarian DX,Tiny Barbarian DX,,Nicalis,,,,,10th Oct 17,20th Feb 19,,NS
240,Owlboy,Owlboy Read the review,,Soedesco,7.0,9.0,,,29th May 18,06th Nov 18,,NS
241,Little Nightmares,Little Nightmares,,Bandai Namco Entertainment,,,,,18th May 18,20th Feb 19,,NS
242,Scribblenauts Mega Pack,Scribblenauts Mega Pack,,Warner Bros. Interactive Entertainment,,,,,18th Sep 18,20th Feb 19,,NS
243,Brawlout,Brawlout,,Merge Games,,6.2,,0.05m,26th Jun 18,22nd Feb 18,,NS
244,VOEZ,VOEZ,,PM Studios,,8.5,,0.05m,14th Aug 18,28th Jan 18,,NS
245,Senran Kagura Reflexions,Senran Kagura Reflexions,,Xseed Games,,,,0.05m,13th Sep 18,14th Oct 18,,NS
246,My Riding Stables: Life with Horses,My Riding Stables: Life with Horses,,TREVA Entertainment,,,,,13th Nov 18,04th Aug 18,,NS
247,Toki Collector's Edition,Toki Collector's Edition,,Microids,,,,,22nd Nov 18,22nd Feb 19,,NS
248,I am Setsuna,I am Setsuna,,Square Enix,,7.0,,,03rd Mar 17,04th Jul 18,,NS
249,Battle Chasers: Nightwar,Battle Chasers: Nightwar,,THQ Nordic,,8.5,,,15th May 18,22nd Sep 18,,NS
250,Wonder Boy: The Dragon's Trap (Remake),Wonder Boy: The Dragon's Trap (Remake),,DotEmu,,7.4,7.5,,18th Apr 17,10th Aug 18,,NS
